image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
444,7,Gaussian Blur,0.013622958384918244,18.657285700495592,0.8104393363383589,0.019144669026458654,17.17952137345813,0.7980633224968376
445,9,Gaussian Blur,0.009787502920530457,20.09328095343188,0.804321515697192,0.014595927615338768,18.357682990712217,0.7854569377312678
446,3,Gaussian Blur,0.018316110064135308,17.371667553985986,0.8306616072750013,0.030743830991267287,15.122420159936738,0.7122604122320179
447,7,Gaussian Blur,0.012433659204886831,19.054010404153004,0.774431794452052,0.015717210443510158,18.03624531864945,0.781349569076576
448,8,Gaussian Blur,0.01716412005161342,17.653784565274503,0.8014794942917187,0.042446147823430036,13.721617177861178,0.6338704213552799
449,1,Gaussian Blur,0.007649216164478686,21.163830658767964,0.8211003906247246,0.008409891860610636,20.75209588582828,0.8240979001557158
450,1,Gaussian Blur,0.007395938458269858,21.310067112696256,0.8229671652984365,0.009098498629090533,20.41030266019085,0.8228299986289654
451,2,Gaussian Blur,0.011918570891060683,19.237758160165033,0.8134873921052096,0.01729868208007881,17.619869828337457,0.7564086499207554
452,3,Gaussian Blur,0.015133150866330979,18.20070638309034,0.8427125972188048,0.03746739721472824,14.263464754288242,0.6590470457698273
453,0,Gaussian Blur,0.012930269680348529,18.88392417156275,0.7840975277615321,0.030988389559696884,15.088009930898721,0.7228501981789125
454,3,Gaussian Blur,0.01779144908597692,17.497886778624547,0.8189627330773434,0.041204633216645484,13.850539473821692,0.6609125716571645
455,9,Gaussian Blur,0.015232916603579031,18.172169355628306,0.7221665116397344,0.027782221446639853,15.562330313325408,0.6545046046524406
456,7,Gaussian Blur,0.010586901085630287,19.75231144553846,0.7959237157273502,0.01659636890429818,17.799869202325304,0.7416235707788097
457,6,Gaussian Blur,0.010587411163492494,19.75210220710055,0.8091058094746881,0.018601190854839935,17.304592512051858,0.7715224205983725
458,1,Gaussian Blur,0.006914039863253052,21.60268120839183,0.8399133140201215,0.009379514397157958,20.278196456394745,0.8215635408881871
459,5,Gaussian Blur,0.014759118723233834,18.30939573750307,0.8344239142367104,0.02365922345558059,16.259995139131114,0.782003281037236
460,0,Gaussian Blur,0.017825305980709007,17.4896300651997,0.7462318207264713,0.024702204866480344,16.07264280804726,0.6955411345416954
461,7,Gaussian Blur,0.01164540292230188,19.338454806024565,0.7866897546748286,0.016064597257536034,17.94130157820039,0.7796132300538996
462,0,Gaussian Blur,0.015059748834287314,18.22182271215841,0.850098860029253,0.022274371727224435,16.521945368644936,0.8262175807574074
463,1,Gaussian Blur,0.0071080977969068615,21.482466055762444,0.8449959911251498,0.0070127979367032795,21.541086744676818,0.8646869629621465
464,1,Gaussian Blur,0.006787459794436897,21.68292729941721,0.8361726753725119,0.00825656787250939,20.832004446635842,0.8374680349949766
465,5,Gaussian Blur,0.01487383133205987,18.275771476818687,0.8503049819147009,0.03317868179495684,14.79140872698299,0.754859757755513
466,6,Gaussian Blur,0.015071086733434172,18.21855430809627,0.7694863537580492,0.028559441157247404,15.442502949595276,0.7162064462780344
467,4,Gaussian Blur,0.014698781020820015,18.327186800737547,0.8020432461613543,0.03380070646655259,14.710742224643848,0.676134011795604
468,2,Gaussian Blur,0.016110247536256412,17.928977865327173,0.8445795477803504,0.03179981399951485,14.975754202426295,0.7218747086176093
469,1,Gaussian Blur,0.007676442787108199,21.148399825489182,0.8138026669039821,0.011265170869648126,19.482622165293638,0.7737609731183751
470,5,Gaussian Blur,0.012362356330822152,19.078987425206464,0.7786662113543202,0.020765533874281466,16.826568988582714,0.7067707710428395
471,8,Gaussian Blur,0.014130161346517,18.498528790925633,0.809729932733431,0.03485823520784916,14.576946039986595,0.6899619661157967
472,6,Gaussian Blur,0.01876746697781833,17.26594339621102,0.763079486984062,0.03326725251200956,14.779830653212882,0.6797425575879419
473,5,Gaussian Blur,0.012671793713958861,18.97161905642411,0.7879441640960747,0.03021406659781179,15.197908178537585,0.6933971051297882
474,9,Gaussian Blur,0.011850151216556746,19.262761077047507,0.7955472813369312,0.02193963870537843,16.587705285184835,0.7871840985595976
475,8,Gaussian Blur,0.013273289279985322,18.770214404263907,0.7798542054576787,0.0184749794491554,17.33416036025065,0.7986203598646731
476,5,Gaussian Blur,0.015966248737350575,17.96797109161339,0.7685390192251144,0.029343231520069842,15.324920597479199,0.6307411391514367
477,1,Gaussian Blur,0.006439555989779497,21.91144076403607,0.8477427908506309,0.006744989990698594,21.71018690467628,0.8615028969432977
478,0,Gaussian Blur,0.012929445629278,18.88420095792994,0.7985194565348263,0.02382122457686669,16.23035916517984,0.7506076230031374
479,0,Gaussian Blur,0.013276388464232262,18.769200487156567,0.8072944157133546,0.01873122332844517,17.274338581056,0.8012179339635296
480,8,Gaussian Blur,0.016513918745141385,17.82149856631444,0.8193899375988338,0.03457192402501212,14.612764500730455,0.709666754942517
481,7,Gaussian Blur,0.01012089127168888,19.94781240724236,0.8241772161328529,0.015577788941516742,18.074941845737605,0.7841334071992857
482,2,Gaussian Blur,0.013562483252552805,18.67660785089673,0.7611885142436439,0.020388202163493147,16.906210687239895,0.6940071255311344
483,3,Gaussian Blur,0.017396781637654905,17.595310877108712,0.7602805734418816,0.030617645533211814,15.140282091716825,0.626433532831679
484,3,Gaussian Blur,0.017155587075892917,17.655944155000732,0.7708587347742899,0.028639249657465168,15.430383646425074,0.6578691997523739
485,7,Gaussian Blur,0.011633397951992103,19.342934154296238,0.758653152812199,0.013135907449733026,18.815399200763277,0.80475411199345
486,3,Gaussian Blur,0.017283128424974183,17.62377642949118,0.7333380692604213,0.03217478812581319,14.92484304286611,0.5940119325055142
487,3,Gaussian Blur,0.01384893115498821,18.585837436683512,0.8057612792473419,0.02895746398207453,15.382394751688667,0.6755814650980039
488,7,Gaussian Blur,0.011395950099410782,19.43249461117186,0.7701768980035618,0.01756245638728953,17.55414741229593,0.7285480618919099
489,7,Gaussian Blur,0.013864054866469992,18.581097315868394,0.7652872742357903,0.016888757196545538,17.724023079506647,0.7653952845454438
